date,sensor_type,value,unit,location_id,threshold_exceeded
2023-09-12T00:00,pressure,956.3,hPa,109,Min
2023-10-12T00:00,pressure,1042.35,hPa,110,Max
2023-10-02T00:00,pressure,1040.98,hPa,106,Max
2024-01-17T00:00,light,1.2,lux,102,Min
2023-09-07T00:00,pressure,958.04,hPa,110,Min
2024-01-31T00:00,humidity,80.9,%,101,Max
2023-10-10T00:00,motion,43.0,count,105,Max
2023-08-25T00:00,humidity,34.3,%,109,Min
2023-08-30T00:00,humidity,37.14,%,109,Min
2023-08-10T00:00,motion,42.0,count,102,Max
2023-12-26T00:00,sound,102.25,dB,101,Max
2023-09-05T00:00,motion,35.0,count,109,Max
2024-01-20T00:00,sound,105.65,dB,105,Max
2023-12-03T00:00,motion,4.0,count,107,Min
2024-01-01T00:00,co2,767.89,ppm,109,Max
2023-08-14T00:00,motion,45.0,count,106,Max
2023-10-04T00:00,motion,0.0,count,109,Min
2023-08-26T00:00,humidity,85.4,%,104,Max
2024-01-19T00:00,sound,104.33,dB,108,Max
2023-09-05T00:00,pressure,1043.2,hPa,102,Max
2024-01-18T00:00,motion,43.0,count,108,Max
2023-12-04T00:00,sound,113.67,dB,108,Max
2024-01-22T00:00,pressure,951.1,hPa,101,Min
2024-01-05T00:00,humidity,33.47,%,110,Min
2023-11-17T00:00,temperature,14.7,C,102,Min
2024-01-12T00:00,temperature,39.55,C,107,Max
2023-11-26T00:00,sound,106.73,dB,108,Max
2023-12-06T00:00,pressure,1048.13,hPa,107,Max
2023-12-29T00:00,motion,33.0,count,101,Max
2023-11-24T00:00,temperature,35.51,C,105,Max
2023-11-29T00:00,co2,758.82,ppm,105,Max
2024-01-09T00:00,motion,37.0,count,102,Max
2023-09-03T00:00,sound,111.15,dB,103,Max
2023-10-17T00:00,sound,109.44,dB,109,Max
2023-09-29T00:00,humidity,81.68,%,107,Max
2023-08-02T00:00,voc,477.95,ppb,110,Max
2024-01-19T00:00,light,963.52,lux,102,Max
2023-08-26T00:00,sound,29.79,dB,101,Min
2023-11-04T00:00,temperature,38.43,C,101,Max
2024-01-24T00:00,humidity,89.36,%,109,Max
2024-01-20T00:00,pressure,1042.27,hPa,104,Max
2023-08-06T00:00,co2,783.62,ppm,101,Max
2023-12-21T00:00,sound,25.6,dB,109,Min
2023-10-08T00:00,motion,50.0,count,106,Max
2024-01-11T00:00,light,914.06,lux,103,Max
2023-08-21T00:00,co2,736.87,ppm,104,Max
2023-11-30T00:00,sound,24.91,dB,103,Min
2023-12-22T00:00,humidity,38.89,%,105,Min
2023-08-23T00:00,humidity,87.59,%,109,Max
2023-08-12T00:00,humidity,31.25,%,106,Min
2023-11-08T00:00,co2,759.54,ppm,105,Max
2024-01-21T00:00,temperature,39.63,C,109,Max
2023-10-28T00:00,humidity,31.5,%,109,Min
2023-08-09T00:00,light,18.02,lux,104,Min
2023-11-22T00:00,co2,340.19,ppm,108,Min
2023-11-01T00:00,temperature,35.52,C,110,Max
2023-12-14T00:00,humidity,32.27,%,108,Min
2024-01-06T00:00,humidity,87.95,%,101,Max
2023-11-12T00:00,temperature,38.91,C,103,Max
2023-12-11T00:00,sound,101.68,dB,109,Max
2023-10-23T00:00,pressure,1044.44,hPa,102,Max
2023-08-06T00:00,co2,794.29,ppm,105,Max
2023-11-04T00:00,humidity,84.48,%,104,Max
2023-09-26T00:00,voc,104.85,ppb,110,Min
2023-08-20T00:00,co2,747.37,ppm,107,Max
2023-10-17T00:00,motion,43.0,count,101,Max
2023-10-03T00:00,pressure,1043.72,hPa,104,Max
2023-10-08T00:00,temperature,39.3,C,109,Max
2023-08-24T00:00,motion,1.0,count,104,Min
2023-09-07T00:00,voc,451.45,ppb,106,Max
2023-11-26T00:00,co2,304.62,ppm,104,Min
2023-11-13T00:00,pressure,958.2,hPa,101,Min
2023-09-01T00:00,co2,752.03,ppm,103,Max
2023-09-04T00:00,light,51.13,lux,102,Min
2023-09-12T00:00,motion,31.0,count,106,Max
2023-10-05T00:00,humidity,82.32,%,109,Max
2023-12-20T00:00,motion,40.0,count,103,Max
2023-09-30T00:00,co2,775.89,ppm,107,Max
2023-11-18T00:00,co2,316.9,ppm,107,Min
2023-12-26T00:00,temperature,10.6,C,108,Min
2023-09-04T00:00,humidity,34.42,%,109,Min
2023-10-09T00:00,temperature,38.48,C,102,Max
2023-08-01T00:00,temperature,35.64,C,108,Max
2023-08-19T00:00,temperature,39.72,C,104,Max
2024-01-24T00:00,humidity,88.54,%,105,Max
2024-01-10T00:00,voc,112.51,ppb,101,Min
2023-11-12T00:00,voc,493.32,ppb,103,Max
2023-08-05T00:00,co2,734.42,ppm,110,Max
2024-01-14T00:00,sound,104.3,dB,110,Max
2024-01-28T00:00,temperature,37.27,C,106,Max
2024-01-25T00:00,humidity,30.08,%,102,Min
2023-09-12T00:00,voc,483.86,ppb,105,Max
2023-11-30T00:00,humidity,38.86,%,102,Min
2023-12-23T00:00,voc,141.36,ppb,103,Min
2023-12-15T00:00,light,988.38,lux,101,Max
2023-08-21T00:00,light,93.32,lux,103,Min
2023-09-01T00:00,light,8.95,lux,104,Min
2023-08-06T00:00,voc,128.72,ppb,102,Min
2023-08-26T00:00,sound,104.8,dB,106,Max
2023-08-17T00:00,temperature,39.29,C,105,Max
2024-01-22T00:00,humidity,80.68,%,108,Max
