"date","sensor_type","value","unit","location_id","threshold_exceeded"
"2023-09-12","pressure","956.3","hPa","109.0","Min"
"2023-10-12","pressure","1042.35","hPa","110.0","Max"
"2023-10-02","pressure","1040.98","hPa","106.0","Max"
"2024-01-17","light","1.2","lux","102.0","Min"
"2023-09-07","pressure","958.04","hPa","110.0","Min"
"2024-01-31","humidity","80.9","%","101.0","Max"
"2023-10-10","motion","43.0","count","105.0","Max"
"2023-08-25","humidity","34.3","%","109.0","Min"
"2023-08-30","humidity","37.14","%","109.0","Min"
"2023-08-10","motion","42.0","count","102.0","Max"
"2023-12-26","sound","102.25","dB","101.0","Max"
"2023-09-05","motion","35.0","count","109.0","Max"
"2024-01-20","sound","105.65","dB","105.0","Max"
"2023-12-03","motion","4.0","count","107.0","Min"
"2024-01-01","co2","767.89","ppm","109.0","Max"
"2023-08-14","motion","45.0","count","106.0","Max"
"2023-10-04","motion","0.0","count","109.0","Min"
"2023-08-26","humidity","85.4","%","104.0","Max"
"2024-01-19","sound","104.33","dB","108.0","Max"
"2023-09-05","pressure","1043.2","hPa","102.0","Max"
"2024-01-18","motion","43.0","count","108.0","Max"
"2023-12-04","sound","113.67","dB","108.0","Max"
"2024-01-22","pressure","951.1","hPa","101.0","Min"
"2024-01-05","humidity","33.47","%","110.0","Min"
"2023-11-17","temperature","14.7","C","102.0","Min"
"2024-01-12","temperature","39.55","C","107.0","Max"
"2023-11-26","sound","106.73","dB","108.0","Max"
"2023-12-06","pressure","1048.13","hPa","107.0","Max"
"2023-12-29","motion","33.0","count","101.0","Max"
"2023-11-24","temperature","35.51","C","105.0","Max"
"2023-11-29","co2","758.82","ppm","105.0","Max"
"2024-01-09","motion","37.0","count","102.0","Max"
"2023-09-03","sound","111.15","dB","103.0","Max"
"2023-10-17","sound","109.44","dB","109.0","Max"
"2023-09-29","humidity","81.68","%","107.0","Max"
"2023-08-02","voc","477.95","ppb","110.0","Max"
"2024-01-19","light","963.52","lux","102.0","Max"
"2023-08-26","sound","29.79","dB","101.0","Min"
"2023-11-04","temperature","38.43","C","101.0","Max"
"2024-01-24","humidity","89.36","%","109.0","Max"
"2024-01-20","pressure","1042.27","hPa","104.0","Max"
"2023-08-06","co2","783.62","ppm","101.0","Max"
"2023-12-21","sound","25.6","dB","109.0","Min"
"2023-10-08","motion","50.0","count","106.0","Max"
"2024-01-11","light","914.06","lux","103.0","Max"
"2023-08-21","co2","736.87","ppm","104.0","Max"
"2023-11-30","sound","24.91","dB","103.0","Min"
"2023-12-22","humidity","38.89","%","105.0","Min"
"2023-08-23","humidity","87.59","%","109.0","Max"
"2023-08-12","humidity","31.25","%","106.0","Min"
"2023-11-08","co2","759.54","ppm","105.0","Max"
"2024-01-21","temperature","39.63","C","109.0","Max"
"2023-10-28","humidity","31.5","%","109.0","Min"
"2023-08-09","light","18.02","lux","104.0","Min"
"2023-11-22","co2","340.19","ppm","108.0","Min"
"2023-11-01","temperature","35.52","C","110.0","Max"
"2023-12-14","humidity","32.27","%","108.0","Min"
"2024-01-06","humidity","87.95","%","101.0","Max"
"2023-11-12","temperature","38.91","C","103.0","Max"
"2023-12-11","sound","101.68","dB","109.0","Max"
"2023-10-23","pressure","1044.44","hPa","102.0","Max"
"2023-08-06","co2","794.29","ppm","105.0","Max"
"2023-11-04","humidity","84.48","%","104.0","Max"
"2023-09-26","voc","104.85","ppb","110.0","Min"
"2023-08-20","co2","747.37","ppm","107.0","Max"
"2023-10-17","motion","43.0","count","101.0","Max"
"2023-10-03","pressure","1043.72","hPa","104.0","Max"
"2023-10-08","temperature","39.3","C","109.0","Max"
"2023-08-24","motion","1.0","count","104.0","Min"
"2023-09-07","voc","451.45","ppb","106.0","Max"
"2023-11-26","co2","304.62","ppm","104.0","Min"
"2023-11-13","pressure","958.2","hPa","101.0","Min"
"2023-09-01","co2","752.03","ppm","103.0","Max"
"2023-09-04","light","51.13","lux","102.0","Min"
"2023-09-12","motion","31.0","count","106.0","Max"
"2023-10-05","humidity","82.32","%","109.0","Max"
"2023-12-20","motion","40.0","count","103.0","Max"
"2023-09-30","co2","775.89","ppm","107.0","Max"
"2023-11-18","co2","316.9","ppm","107.0","Min"
"2023-12-26","temperature","10.6","C","108.0","Min"
"2023-09-04","humidity","34.42","%","109.0","Min"
"2023-10-09","temperature","38.48","C","102.0","Max"
"2023-08-01","temperature","35.64","C","108.0","Max"
"2023-08-19","temperature","39.72","C","104.0","Max"
"2024-01-24","humidity","88.54","%","105.0","Max"
"2024-01-10","voc","112.51","ppb","101.0","Min"
"2023-11-12","voc","493.32","ppb","103.0","Max"
"2023-08-05","co2","734.42","ppm","110.0","Max"
"2024-01-14","sound","104.3","dB","110.0","Max"
"2024-01-28","temperature","37.27","C","106.0","Max"
"2024-01-25","humidity","30.08","%","102.0","Min"
"2023-09-12","voc","483.86","ppb","105.0","Max"
"2023-11-30","humidity","38.86","%","102.0","Min"
"2023-12-23","voc","141.36","ppb","103.0","Min"
"2023-12-15","light","988.38","lux","101.0","Max"
"2023-08-21","light","93.32","lux","103.0","Min"
"2023-09-01","light","8.95","lux","104.0","Min"
"2023-08-06","voc","128.72","ppb","102.0","Min"
"2023-08-26","sound","104.8","dB","106.0","Max"
