date,sensor_type,value,unit,location_id,month
2024-01-11 00:00:00,pressure,1031.58,hPa,106.0,2024-01
2023-11-01 00:00:00,pressure,990.08,hPa,109.0,2023-11
2023-10-08 00:00:00,light,656.83,lux,102.0,2023-10
2023-08-28 00:00:00,pressure,994.6,hPa,103.0,2023-08
2023-10-07 00:00:00,pressure,961.35,hPa,102.0,2023-10
2023-08-11 00:00:00,humidity,70.06,%,109.0,2023-08
2023-09-12 00:00:00,pressure,956.3,hPa,109.0,2023-09
2023-10-12 00:00:00,pressure,1042.35,hPa,110.0,2023-10
2023-10-02 00:00:00,pressure,1040.98,hPa,106.0,2023-10
2023-08-24 00:00:00,pressure,1026.14,hPa,105.0,2023-08
2023-08-08 00:00:00,pressure,1035.52,hPa,103.0,2023-08
2023-11-07 00:00:00,motion,27.0,count,103.0,2023-11
2024-01-17 00:00:00,light,1.2,lux,102.0,2024-01
2023-08-31 00:00:00,sound,48.74,dB,103.0,2023-08
2023-10-16 00:00:00,humidity,61.11,%,108.0,2023-10
2023-09-07 00:00:00,pressure,958.04,hPa,110.0,2023-09
2023-09-12 00:00:00,humidity,66.05,%,105.0,2023-09
2023-10-12 00:00:00,humidity,68.38,%,103.0,2023-10
2024-01-31 00:00:00,humidity,80.9,%,101.0,2024-01
2023-09-05 00:00:00,sound,45.57,dB,106.0,2023-09
2023-12-03 00:00:00,pressure,972.66,hPa,105.0,2023-12
2023-10-10 00:00:00,motion,43.0,count,105.0,2023-10
2023-11-25 00:00:00,humidity,45.9,%,108.0,2023-11
2023-08-25 00:00:00,humidity,34.3,%,109.0,2023-08
2023-08-30 00:00:00,humidity,37.14,%,109.0,2023-08
2024-01-30 00:00:00,humidity,57.69,%,105.0,2024-01
2024-01-26 00:00:00,co2,519.98,ppm,105.0,2024-01
2023-12-04 00:00:00,sound,42.81,dB,108.0,2023-12
2024-01-23 00:00:00,co2,522.45,ppm,105.0,2024-01
2023-08-30 00:00:00,humidity,72.71,%,105.0,2023-08
2023-11-13 00:00:00,temperature,31.32,C,102.0,2023-11
2023-08-10 00:00:00,pressure,993.06,hPa,106.0,2023-08
2023-08-10 00:00:00,motion,42.0,count,102.0,2023-08
2024-01-27 00:00:00,sound,77.56,dB,101.0,2024-01
2023-12-08 00:00:00,light,880.41,lux,105.0,2023-12
2023-12-26 00:00:00,sound,102.25,dB,101.0,2023-12
2023-09-05 00:00:00,motion,35.0,count,109.0,2023-09
2024-01-20 00:00:00,sound,105.65,dB,105.0,2024-01
2023-11-25 00:00:00,sound,33.23,dB,101.0,2023-11
2023-09-05 00:00:00,temperature,18.13,C,105.0,2023-09
2023-11-27 00:00:00,pressure,1009.35,hPa,105.0,2023-11
2023-12-03 00:00:00,motion,4.0,count,107.0,2023-12
2023-10-18 00:00:00,voc,442.17,ppb,106.0,2023-10
2024-01-01 00:00:00,co2,767.89,ppm,109.0,2024-01
2024-01-21 00:00:00,pressure,1014.38,hPa,109.0,2024-01
2023-08-12 00:00:00,voc,169.74,ppb,106.0,2023-08
2023-08-14 00:00:00,motion,45.0,count,106.0,2023-08
2023-08-12 00:00:00,motion,22.0,count,108.0,2023-08
2023-10-04 00:00:00,motion,0.0,count,109.0,2023-10
2023-12-20 00:00:00,sound,94.8,dB,109.0,2023-12
2024-01-11 00:00:00,pressure,1016.71,hPa,104.0,2024-01
2023-08-21 00:00:00,light,756.23,lux,106.0,2023-08
2023-09-27 00:00:00,humidity,46.64,%,106.0,2023-09
2024-01-27 00:00:00,humidity,70.18,%,110.0,2024-01
2023-09-06 00:00:00,temperature,20.29,C,105.0,2023-09
2024-01-29 00:00:00,pressure,982.26,hPa,102.0,2024-01
2023-08-26 00:00:00,humidity,85.4,%,104.0,2023-08
2024-01-01 00:00:00,pressure,1017.55,hPa,108.0,2024-01
2023-12-22 00:00:00,motion,19.0,count,106.0,2023-12
2023-11-21 00:00:00,humidity,53.52,%,106.0,2023-11
2024-01-19 00:00:00,sound,104.33,dB,108.0,2024-01
2024-01-23 00:00:00,voc,169.73,ppb,110.0,2024-01
2023-11-16 00:00:00,co2,469.67,ppm,103.0,2023-11
2023-11-19 00:00:00,co2,380.51,ppm,102.0,2023-11
2023-08-05 00:00:00,co2,374.83,ppm,103.0,2023-08
2023-09-05 00:00:00,pressure,1043.2,hPa,102.0,2023-09
2023-09-27 00:00:00,voc,406.68,ppb,110.0,2023-09
2024-01-18 00:00:00,motion,43.0,count,108.0,2024-01
2023-10-31 00:00:00,co2,544.99,ppm,105.0,2023-10
2023-11-04 00:00:00,voc,210.62,ppb,106.0,2023-11
