SensorType, Month, Value, LocationId, Threshold (High/Low)
2023-09-12, PRESSURE, 956.3, 109, Low
2023-10-12, PRESSURE, 1042.35, 110, High
2023-10-02, PRESSURE, 1040.98, 106, High
2024-01-17, LIGHT, 1.2, 102, Low
2023-09-07, PRESSURE, 958.04, 110, Low
2024-01-31, HUMIDITY, 80.9, 101, High
2023-10-10, MOTION, 43.0, 105, High
2023-08-25, HUMIDITY, 34.3, 109, Low
2023-08-30, HUMIDITY, 37.14, 109, Low
2023-08-10, MOTION, 42.0, 102, High
2023-12-26, SOUND, 102.25, 101, High
2023-09-05, MOTION, 35.0, 109, High
2024-01-20, SOUND, 105.65, 105, High
2023-12-03, MOTION, 4.0, 107, Low
2024-01-01, CO2, 767.89, 109, High
2023-08-14, MOTION, 45.0, 106, High
2023-10-04, MOTION, 0.0, 109, Low
2023-08-26, HUMIDITY, 85.4, 104, High
2024-01-19, SOUND, 104.33, 108, High
2023-09-05, PRESSURE, 1043.2, 102, High
2024-01-18, MOTION, 43.0, 108, High
2023-12-04, SOUND, 113.67, 108, High
2024-01-22, PRESSURE, 951.1, 101, Low
2024-01-05, HUMIDITY, 33.47, 110, Low
2023-11-17, TEMPERATURE, 14.7, 102, Low
2024-01-12, TEMPERATURE, 39.55, 107, High
2023-11-26, SOUND, 106.73, 108, High
2023-12-06, PRESSURE, 1048.13, 107, High
2023-12-29, MOTION, 33.0, 101, High
2023-11-24, TEMPERATURE, 35.51, 105, High
2023-11-29, CO2, 758.82, 105, High
2024-01-09, MOTION, 37.0, 102, High
2023-09-03, SOUND, 111.15, 103, High
2023-10-17, SOUND, 109.44, 109, High
2023-09-29, HUMIDITY, 81.68, 107, High
2023-08-02, VOC, 477.95, 110, High
2024-01-19, LIGHT, 963.52, 102, High
2023-08-26, SOUND, 29.79, 101, Low
2023-11-04, TEMPERATURE, 38.43, 101, High
2024-01-24, HUMIDITY, 89.36, 109, High
2024-01-20, PRESSURE, 1042.27, 104, High
2023-08-06, CO2, 783.62, 101, High
2023-12-21, SOUND, 25.6, 109, Low
2023-10-08, MOTION, 50.0, 106, High
2024-01-11, LIGHT, 914.06, 103, High
2023-08-21, CO2, 736.87, 104, High
2023-11-30, SOUND, 24.91, 103, Low
2023-12-22, HUMIDITY, 38.89, 105, Low
2023-08-23, HUMIDITY, 87.59, 109, High
2023-08-12, HUMIDITY, 31.25, 106, Low
2023-11-08, CO2, 759.54, 105, High
2024-01-21, TEMPERATURE, 39.63, 109, High
2023-10-28, HUMIDITY, 31.5, 109, Low
2023-08-09, LIGHT, 18.02, 104, Low
2023-11-22, CO2, 340.19, 108, Low
2023-11-01, TEMPERATURE, 35.52, 110, High
2023-12-14, HUMIDITY, 32.27, 108, Low
2024-01-06, HUMIDITY, 87.95, 101, High
2023-11-12, TEMPERATURE, 38.91, 103, High
2023-12-11, SOUND, 101.68, 109, High
2023-10-23, PRESSURE, 1044.44, 102, High
2023-08-06, CO2, 794.29, 105, High
2023-11-04, HUMIDITY, 84.48, 104, High
2023-09-26, VOC, 104.85, 110, Low
2023-08-20, CO2, 747.37, 107, High
2023-10-17, MOTION, 43.0, 101, High
2023-10-03, PRESSURE, 1043.72, 104, High
2023-10-08, TEMPERATURE, 39.3, 109, High
2023-08-24, MOTION, 1.0, 104, Low
2023-09-07, VOC, 451.45, 106, High
2023-11-26, CO2, 304.62, 104, Low
2023-11-13, PRESSURE, 958.2, 101, Low
2023-09-01, CO2, 752.03, 103, High
2023-09-04, LIGHT, 51.13, 102, Low
2023-09-12, MOTION, 31.0, 106, High
2023-10-05, HUMIDITY, 82.32, 109, High
2023-12-20, MOTION, 40.0, 103, High
2023-09-30, CO2, 775.89, 107, High
2023-11-18, CO2, 316.9, 107, Low
2023-12-26, TEMPERATURE, 10.6, 108, Low
2023-09-04, HUMIDITY, 34.42, 109, Low
2023-10-09, TEMPERATURE, 38.48, 102, High
2023-08-01, TEMPERATURE, 35.64, 108, High
2023-08-19, TEMPERATURE, 39.72, 104, High
2024-01-24, HUMIDITY, 88.54, 105, High
2024-01-10, VOC, 112.51, 101, Low
2023-11-12, VOC, 493.32, 103, High
2023-08-05, CO2, 734.42, 110, High
2024-01-14, SOUND, 104.3, 110, High
2024-01-28, TEMPERATURE, 37.27, 106, High
2024-01-25, HUMIDITY, 30.08, 102, Low
2023-09-12, VOC, 483.86, 105, High
2023-11-30, HUMIDITY, 38.86, 102, Low
2023-12-23, VOC, 141.36, 103, Low
2023-12-15, LIGHT, 988.38, 101, High
2023-08-21, LIGHT, 93.32, 103, Low
2023-09-01, LIGHT, 8.95, 104, Low
2023-08-06, VOC, 128.72, 102, Low
2023-08-26, SOUND, 104.8, 106, High
2023-08-17, TEMPERATURE, 39.29, 105, High
2024-01-22, HUMIDITY, 80.68, 108, High
2023-11-01, CO2, 760.23, 104, High
2024-01-26, CO2, 797.45, 110, High
2023-12-02, TEMPERATURE, 11.1, 106, Low
2023-11-30, CO2, 300.91, 102, Low
2023-12-07, SOUND, 116.09, 109, High
2023-10-14, HUMIDITY, 35.72, 110, Low
2023-11-18, VOC, 453.92, 105, High
2023-08-08, TEMPERATURE, 37.09, 103, High
